Código IBGE,Município,UF,Área (km²),População 2022,PIB per capita 2021,Índice de Progresso Social,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Consumo de Alimentos Ultraprocesados,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquido de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana do Enem
1702158,Araguanã (TO),TO,834.834,4338.0,23651.8126786538,55.5602405072151,74.2634790678153,55.7902112194285,36.6270312344014,59.8565231535383,74.9766970671683,88.0467674304621,74.1739286200927,68.6197192186477,59.3681795823454,52.6287371517267,42.5442089249944,11.3620837167362,47.7638661259497,68.9605063388924,18.4216687560271,68.4744957800272,1104.94482446171,200.720293161911,36.688224969475,4.24729635036969,79.8620136289784,55.0295526427887,85.5725,35.47375,83.1015791984601,92.6898272654026,79.4939688848723,91.7876714827653,0.0,0.0,23.2018561484919,34.8027842227378,1.45,4.55,10.3333333333333,34.2166666666667,4.43333333333333,5.41666666666667,82.46,1.75,90.98,82.987847826087,74.2255892255892,70.37,2.85714285714286,456.705369574156,20.3849216861981,0.0,3.3488984710652,83.3598111205253,95.1276102088167,48.81,46.7234985767198,1.0,0.0,89.0,480.760794207986,547.487839457638,83.5,1.0,20.1799991236717,0.283625944584383,0.549569647331786,0.0,0.444444444444444,0.0,0.0,59.2697961119013,73.3137829912025,25.7962423829132,32.561851556265,468.636696825397
1702208,Araguatins (TO),TO,2633.278,33205.0,16056.4317723234,54.8869812881626,65.536799725437,57.7367480247157,41.3873961143352,69.0305821522345,52.7692070281062,79.3030903497279,61.0443193716793,74.7320795957902,56.6945446373073,59.5759599391695,39.9444079265958,28.809733354159,50.313047686649,53.8226841082636,32.6041193082694,81.1989796611698,582.723955169533,194.750588554339,13.3522475770913,5.33575540239098,77.7211243090582,1.67367982206032,59.74,62.915,69.6999165521791,85.9777782136701,56.319241061939,92.0340039272072,31.8354352883556,2.1031821145393,25.0642270818974,28.1972554671345,0.35,0.783333333333333,6.63333333333333,28.5,4.66666666666667,7.76666666666667,73.24,5.21,67.7,95.5130027777778,48.9571456136966,72.56,2.44493001830745,430.770882598472,16.1146662084119,8.61582805940223,3.04276453929534,63.691433857227,15.3518390876621,57.72,74.0260619939387,9.0,0.0,91.5,370.487574400126,556.580494703745,72.2,3.0,21.481984186812,0.282729363714532,3.47212869854001,0.344827586206896,0.307692307692308,0.763768952593466,158.730158730159,179.191116158748,43.7723836052527,42.3874387839857,52.7667984189723,513.425135080748
1702307,Arapoema (TO),TO,1558.138,5553.0,58867.6423374753,56.7764170894267,77.2723842944226,54.6708532389684,38.386013734889,76.6487273587119,68.4091419235162,90.7159167060198,73.3157511894426,72.6343257826582,55.3938907093716,47.8330887621604,42.8221077016834,14.6751679190804,47.5963790316165,63.8734180082369,27.3990899806222,87.4477566655289,3010.84590011431,156.883803997256,5.55830039525693,3.31529281848062,87.240591044983,8.16344801954345,84.7475,43.74125,88.0273006324924,98.2817682434147,73.0130985064038,97.2052039903984,26.2881177707676,0.0,9.009009009009,36.036036036036,0.133333333333333,2.2,10.6,30.0833333333333,4.75666666666667,5.6,82.57,1.02,73.23,82.5063173913044,60.0,73.59,2.99756012547926,502.762527965839,20.5094527704664,27.027027027027,2.09885591308373,100.836940028296,50.4504504504505,50.11,46.9034846801393,3.0,0.0,106.0,534.371255883612,662.179110133935,85.5,1.0,19.8087722955827,0.295607257203842,2.00484976576577,2.5062656641604,0.222222222222222,0.878234037502966,0.0,170.181280059194,89.9685110211427,38.1562544788269,47.4676089517079,472.021939372833
1702406,Arraias (TO),TO,5803.085,10522.0,21378.0804980042,54.6174356560156,67.9507740380705,57.4715976730931,38.4299352568833,70.8583896220287,60.8001592936468,69.7867192250934,70.3578280115132,75.8500168989893,55.2830292774974,62.7793193464064,35.9740251694792,14.3790885197627,49.1627481812489,61.4460545505778,28.7318497759439,84.0062555480616,1405.49929060161,120.206682366005,14.4157724187617,6.07605609882292,64.0243556847519,12.5683186623757,77.2675,31.8975,59.4877549952023,78.7342810863075,49.6241839632044,79.4962260579704,43.4782608695652,0.0,19.4420141926703,25.2746184504715,0.916666666666667,1.5,4.66666666666667,33.0833333333333,4.68333333333333,2.13333333333333,71.36,2.91,65.25,96.4552583333333,78.2608695652174,74.73,2.30019493177388,339.24157909398,18.6911283226174,7.77680567706814,1.45061160489118,88.7198929869218,114.707883736755,60.57,31.0887364557831,1.0,0.0,78.3333333333333,399.606809920263,333.905629666459,64.0,4.0,20.7141825892248,0.308977282656182,3.09823830757266,3.40439072516251,0.0,0.97577633123466,0.0,315.306326082618,61.6073928871465,40.978011050896,54.7798742138365,462.302509190868
1702554,Augustinópolis (TO),TO,388.81,18128.0,16954.1792475728,54.8075900294459,70.0315885782096,60.342501638596,34.0486798715321,73.0262242949184,79.2513035473708,86.1549114961429,41.6939149744062,70.8950193378329,63.610077674981,53.5675101264843,53.2973994150856,12.4773053009556,50.348993631616,44.495200237869,28.8732203156879,88.8795950336232,664.039349142328,193.393500480833,12.6380259113996,4.38257462063439,92.9471971773611,38.1971101766617,89.05375,28.3825,86.6747773715247,94.5686121743951,61.1917248927768,95.3340860939867,79.5404330534689,11.1769308147983,38.892701898879,64.0585678334477,1.18333333333333,4.45,9.5,30.6166666666667,4.7,4.93333333333333,86.36,6.41,85.53,94.8934611111111,66.3000315980468,72.56,2.72393923520168,482.093060865604,18.1358834753987,11.4390299702585,8.46598398751266,13.7476901506509,3.43170899107756,49.3,70.4809582974458,2.0,0.0,94.0,942.585928362573,818.310202665777,62.75,3.0,20.0182531808017,0.283539334637965,2.27938765671471,1.47226889927496,0.363636363636364,0.905672105672106,833.333333333334,988.040684028167,32.133676092545,37.1397722638224,46.260601387818,493.584745476306
1702703,Aurora do Tocantins (TO),TO,696.194,3420.0,17320.2584210526,59.0295994911913,74.3654538250462,60.6264220175963,42.0969226309314,80.5176200438205,66.112835923013,83.6331200772771,67.1982392560741,75.2327383974486,53.7320227888537,60.5007932824045,53.0401336016784,12.4781922215673,48.7912003968836,93.9239211270281,13.1943767782466,87.3492063492063,481.406036108555,110.042317795394,0.0,4.98292080854243,75.4912259271626,26.6864156705842,78.38625,38.89625,72.7674230188178,94.2151739293267,67.2195552143677,90.1510246438523,50.2008032128513,0.0,23.9377618192699,29.9222022740874,1.16666666666667,2.31666666666667,6.3,27.0833333333333,4.76666666666667,2.91666666666667,79.5,10.27,60.23,78.0095454545455,80.0,73.23,2.27817745803357,356.711936425376,18.6815473188178,7.48055056852185,10.627793531273,41.358195987249,23.9377618192699,52.28,24.9241414704889,1.0,0.0,87.5,394.376663165266,526.115779206421,74.5,2.0,23.7925561029009,0.274964476021314,2.84318151196888,0.0,0.0,0.0,0.0,0.0,0.0,14.0194042101276,19.3490054249548,475.46924896019
1702901,Axixá do Tocantins (TO),TO,153.539,10663.0,13328.5165150521,55.6480802439123,68.9268139944444,56.3162691543031,41.7011575829895,71.4219552163596,69.9976141836963,75.1352629615125,59.1524236162091,65.2643176404842,59.9517883258748,50.7371943281185,49.3117763227347,7.13685705673104,44.5948980408483,79.3641041073392,35.7087711270393,92.7441860465116,716.890640340729,262.555032633502,12.2059664230989,4.45059319564295,88.3891859988472,66.3618956775445,80.2264444444444,80.2264444444444,54.2957271528238,94.7386969651838,51.2358474659365,83.5172591029997,51.4999356250805,0.0,27.2851296043656,37.0298187487819,1.05,7.26666666666667,11.3666666666667,33.9166666666667,4.075,8.63333333333334,92.18,3.59,63.13,96.7754583333334,85.7142857142857,69.0,2.24249334853668,615.505962150712,14.1019507951236,4.87234457220815,2.01059577522933,10.3611815023926,16.5659715455077,51.18,68.7085272598457,1.0,0.0,80.0,1269.88726134762,1165.59073723126,85.5,2.0,20.2192370416576,0.33427917797596,0.973057629604365,0.0,0.888888888888889,0.798847890393896,0.0,9.5492742551566,53.8599640933573,55.8750790730968,71.0227272727273,466.038568253968
1703008,Babaçulândia (TO),TO,1790.297,7779.0,20555.3167887903,51.3456370417639,65.6628800702084,51.9548938345442,36.4191372205391,73.7630994703636,56.0162272808535,77.6498793348886,55.2223141947278,71.2324151938281,41.3505341745544,55.8547927883182,39.3818331814762,15.1600646149363,45.2736879907332,68.8159819868916,16.4268142895953,80.2269692923899,646.298007619143,100.775877903169,17.738339267091,4.78999766532553,59.4286664871878,31.9507863882247,53.89625,25.82625,61.7046241648589,89.7801962407533,58.0632639537782,86.8161356865331,48.1077613855035,8.89838049474997,25.3807106598985,27.9187817258883,0.516666666666667,4.03333333333333,7.88333333333333,34.55,4.05,2.55,50.43,1.17,35.02,87.24345,68.75,72.52,2.43836358710376,337.547235311071,18.9910317952772,22.8426395939086,0.545162396605257,64.5320065856393,157.360406091371,50.08,34.5992170973808,3.0,0.0,93.0,742.02115633075,760.753077810365,63.0,3.0,21.019750827981,0.359212347354138,5.89565828553299,0.0,0.222222222222222,0.69732044883367,0.0,42.7122263747997,101.936799184506,23.1368050326368,32.3637853338796,446.070298366013
1703057,Bandeirantes do Tocantins (TO),TO,1540.541,3534.0,50921.9508205999,53.6520236381941,68.0865764428163,55.0514623187437,37.8180321530223,73.2979571834771,75.2572820134139,88.6906440690035,35.1004225053706,73.9881491098093,47.3862986366453,60.6776745159313,38.153727012589,10.6376392105316,43.2861026428756,63.7437915332816,33.6045952254004,94.5238095238095,1461.68448938524,138.800587464312,26.5087719298246,3.66604656640832,83.6850293977425,91.6412197960451,66.10375,39.455,79.3197595378021,93.5098398149809,74.219292552006,97.4531862426891,79.744816586922,20.6270627062706,41.0918696800704,51.3648371000881,0.7,4.4,7.43333333333333,25.8833333333333,4.43333333333333,1.2,58.41,1.24,68.29,76.6941826086957,66.6666666666667,72.79,2.31945176594623,407.027300467396,19.8921990825239,0.0,1.11392279760441,598.631224192228,79.2486058115644,48.57,42.3891341200744,1.0,0.0,106.0,534.371255883612,662.179110133935,85.5,1.0,23.0408521303258,0.335039761431412,2.86060298532433,0.0,0.222222222222222,0.733066528961184,0.0,111.386138613862,181.159420289855,47.300239794934,65.331928345627,481.592333333333
1703073,Barra do Ouro (TO),TO,1105.84,4641.0,24582.3740573152,53.2455817523039,66.6291625633228,49.5434610323504,43.5641216612385,71.6038740687868,58.7318922435988,71.4768080933567,64.704075847549,66.4684879494116,45.2686419136192,44.438364238019,41.9983500283518,25.7273840552548,44.2573072251866,86.5169087290457,17.754886635467,78.1117566643882,652.667580339592,170.954074517039,18.7376672138875,3.6106585604153,66.7537478332534,4.50412530042335,65.92875,21.84875,69.2674315699474,81.5244804294667,47.4197918922665,79.9476019376046,43.630017452007,0.0,26.8096514745308,67.0241286863271,1.85,4.65,10.3,31.75,3.84233333333333,7.4,54.33,0.38,68.46,72.9748166666667,41.0,70.6,3.7261698440208,423.59497692722,19.6585348643984,27.9267202859696,0.345031459480162,58.8707087681236,69.2582663092046,52.61,42.237117519841,7.0,0.0,99.0,490.128695406792,615.032484000717,52.0,3.0,30.2007866976578,0.308228771228771,3.27744986148347,0.0,0.444444444444444,0.678305146390253,0.0,0.0,41.186161449753,25.0811700841287,33.1914893617021,451.070323232323
1703107,Barrolândia (TO),TO,697.759,4915.0,25006.4530620549,54.5431764052122,66.8063205007816,57.2603787142126,39.5628300006425,79.0658590525929,71.694120151154,88.4863683839249,27.9789344154545,73.6294128186995,62.9266606709762,48.7169008269106,43.7685405402642,16.3213695069818,51.4422321265026,64.5158882774323,25.9718300916533,100.0,701.886498010543,156.865301265567,12.0428751576293,3.74776681734587,84.538046655179,13.3093300190428,87.695,29.91375,86.691880277503,95.8022098699007,65.1560976190082,98.2420068275091,99.403578528827,31.6188870151771,45.3982666116385,33.0169211721007,0.666666666666667,4.33333333333333,9.61666666666667,23.4666666666667,4.6,1.28333333333333,87.92,1.67,87.11,95.2792666666667,34.4827586206897,73.99,2.96987696224014,539.043864908084,19.0945687593598,30.9533635988444,0.575849390953203,54.2443550981996,68.0973999174577,51.48,35.3744871483905,3.0,0.0,87.0,528.736943319838,442.067583074931,75.0,2.0,22.0275804852473,0.276286836935167,7.19260750722245,9.46756989055506,0.666666666666667,0.496414669125179,0.0,101.180438448567,199.203187250996,28.9902149318191,38.6631716906946,495.780417582418
